"Series","Method","Citation","Contributor","NMFS_POPID","ESU","MAJOR_POPULATION_GROUP","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","SPECIES","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD"
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",1994,26,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",1995,30,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",1996,21,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",1997,46,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",1998,118,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",1999,43,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2000,17,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2001,29,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2002,98,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2003,411,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2004,42,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2005,139,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2006,165,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2007,142,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2008,75,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2009,109,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2010,124,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2011,50,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2012,65,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2013,167,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2014,122,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2015,176,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2016,47,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2017,21,-99
"CRchum2020","Survey","CAX05262020","Washington Department of Fish and Wildlife",123,"Salmon, chum (Columbia River ESU)","Gorge","Upper Gorge (Columbia) Fall Chum","Up. Gorge Tribs.","3.1.2","Chum salmon","Fall","Upper Gorge Tributaries",2018,180,-99
